,element,crystal_structure,potential,cohesive_energy,vac,volume,V0,B0,BP
0,Li,bcc,2016--Nichol-A--Li--LAMMPS--ipr1,-1.647664380761047,0.0,21.255276813903908,21.473209678711996,14.93896694950271,27.94150747020983
1,Li,bcc,2016--Nichol-A--Li--LAMMPS--ipr2,-1.6480002765985633,0.0,21.6217680591418,21.63427190660907,11.084260140392443,-4.696479648795217
2,Li,bcc,Li_eam_fs,-1.647664380761047,0.0,21.255276813903908,21.473209678711996,14.93896694950271,27.94150747020983
3,Be,hcp,2013--Agrawal-A--Be--LAMMPS--ipr1,-3.225692876631448,17406.15711,8.907054847399737,8.95654918282414,308.2067426187345,-10.887944509504756
4,Be,hcp,2018--Byggmastar-J--Be-O--LAMMPS--ipr1,-3.6238981079341035,0.0,8.519141692824826,8.518826669173224,135.0762355031084,3.379950065460612
5,Na,bcc,2015--Wilson-S-R--Na--LAMMPS--ipr1,-1.111022000572651,0.0,37.786324802462865,37.78567165490366,7.312234588392918,3.7995422653792374
6,Na,bcc,2016--Nichol-A--Na--LAMMPS--ipr1,-1.107236001029779,0.0,37.863508871453625,39.49395284677578,7.307765306950955,3.688498327323015
7,Na,bcc,2016--Nichol-A--Na--LAMMPS--ipr2,-1.1090000273500364,0.0,39.4933576452283,39.49328958160667,7.218703886638728,4.92967280355423
8,Na,bcc,FictionalNa2_MendelevM_2015_eam_fs,-1.0947166171111304,0.0,37.838805831050834,37.83898476296856,7.27525860048486,3.7453007459320355
9,Na,bcc,FictionalNa3_MendelevM_2015_eam_fs,-1.0833230656479798,0.0,37.957236010994166,37.95790776659664,7.10536207247904,7.981934932256776
10,Na,bcc,Na_MendelevM_2014_eam_fs,-1.111022000572651,0.0,37.786324802462865,37.78567165490366,7.312234588392918,3.7995422653792374
11,Na,bcc,Na_Mendelev_eam,-1.111022000572651,0.0,37.786324802462865,37.78567165490366,7.312234588392918,3.7995422653792374
12,Na,bcc,Na_eam_fs,-1.107236001029779,0.0,37.863508871453625,39.49395284677578,7.307765306950955,3.688498327323015
13,Mg,hcp,1997--Liu-X-Y--Al-Mg--LAMMPS--ipr1,-1.5100011622234768,0.0,22.94244541706188,22.94187420747294,36.88939871182356,-0.033565559869105144
14,Mg,hcp,1998--Liu-X-Y--Al-Mg--LAMMPS--ipr1,-1.5100011621487397,0.0,22.942444590115272,22.941872396830167,36.88941099109813,-0.03356653308515012
15,Mg,hcp,2004--Zhou-X-W--Mg--LAMMPS--ipr1,-1.5499965986006112,0.0,23.09330714892129,23.091126779962792,35.284106411066986,5.190792484151414
16,Mg,hcp,2004--Zhou-X-W--Mg--LAMMPS--ipr2,-1.5499964882553918,0.0,23.093235789870413,23.091103154972075,35.28253382311273,5.19292678827046
17,Mg,hcp,2006--Sun-D-Y--Mg--LAMMPS--ipr1,-1.5286860700470508,0.0,22.761746472586296,22.757976389544748,36.02182818625532,-0.27987513977321143
18,Mg,hcp,2009--Mendelev-M-I--Al-Mg--LAMMPS--ipr1,-1.5286860709852546,0.0,22.76175774955531,22.757977996687167,36.02177798880338,-0.27997882500199633
19,Mg,hcp,2016--Wilson-S-R--Mg--LAMMPS--ipr1,-1.5321215922752816,0.0,22.7810520237841,22.77680886562877,35.92768572234044,-0.1856248797070046
20,Mg,hcp,2018--Dickel-D-E--Mg-Al-Zn--LAMMPS--ipr1,-1.5095979776346236,0.0,22.95606563671089,22.955947287662095,36.81924852044219,4.738871342207788
21,Mg,hcp,2018--Smirnova-D-E--Mg-H--LAMMPS--ipr1,-1.527605421178414,0.0,22.93670393996118,22.955425116832917,30.398151475195696,2.264973462945417
22,Mg,hcp,Al_Mg_Mendelev_eam,-1.5286860709852546,0.0,22.76175774955531,22.757977996687167,36.02177798880338,-0.27997882500199633
23,Mg,hcp,Al_Mg_eam_fs,-1.5286860709852546,0.0,22.76175774955531,22.757977996687167,36.02177798880338,-0.27997882500199633
24,Mg,hcp,Mg1_eam_fs,-1.5321215922752816,0.0,22.7810520237841,22.77680886562877,35.92768572234044,-0.1856248797070046
25,Mg,hcp,Mg1_prime_eam_fs,-1.482089891796608,0.0,22.83825837150667,22.834046558734766,36.64407890509013,0.6214667827603297
26,Mg,hcp,MgCu_lammps_eam,-1.5114600140784316,-0.2172169095921268,22.762315137722506,22.760117345773843,40.21451857830965,4.614622325450358
27,Mg,hcp,MgTi_lammps_eam,-1.511321333941605,0.10039819220187507,22.722215496376705,22.720946789696637,35.6227313411409,2.7155776448119266
28,Mg,hcp,MgY_lammps_eam,-1.5110495723863766,-0.14611081110381607,22.82060201483831,22.813195888826442,37.3621587436927,4.171895620528628
29,Mg,hcp,Mg_Mendelev_eam,-1.5321215922752816,0.0,22.7810520237841,22.77680886562877,35.92768572234044,-0.1856248797070046
30,Mg,hcp,Mg_eam_fs,-1.5286860700470508,0.0,22.761746472586296,22.757976389544748,36.02182818625532,-0.27987513977321143
31,Mg,hcp,mg_al_set_eam_alloy,-1.5100011622234768,0.0,22.94244541706188,22.94187420747294,36.88939871182356,-0.033565559869105144
32,Al,fcc,1995--Angelo-J-E--Ni-Al-H--LAMMPS--ipr1,-3.359999997072426,0.0,16.607532087307124,16.607532254565587,79.37461864758308,4.025242883218952
