potential_name,symbol,Z,element_name,n_val_elect,val_elect_config,energy_cutoff_ENMAX,default
H,H,1,Hydrogen,1.0,1s1,250.0,True
H.25,H,1,Hydrogen,0.25,1s0.25,250.0,False
H.33,H,1,Hydrogen,0.33,1s0.33,250.0,False
H.42,H,1,Hydrogen,0.42,1s0.42,250.0,False
H.5,H,1,Hydrogen,0.5,1s0.5,250.0,False
H.58,H,1,Hydrogen,0.58,1s0.58,250.0,False
H.66,H,1,Hydrogen,0.66,1s0.66,250.0,False
H.75,H,1,Hydrogen,0.75,1s0.75,250.0,False
H1.25,H,1,Hydrogen,1.25,1s1.25,250.0,False
H1.33,H,1,Hydrogen,1.33,1s1.33,250.0,False
H1.5,H,1,Hydrogen,1.5,1s1.5,250.0,False
H1.66,H,1,Hydrogen,1.66,1s1.66,250.0,False
H1.75,H,1,Hydrogen,1.75,1s1.75,250.0,False
H_AE,H,1,Hydrogen,1.0,1s1,1000.0,False
H_h,H,1,Hydrogen,1.0,1s1,700.0,False
H_s,H,1,Hydrogen,1.0,1s1,200.0,False
He,He,2,Helium,2.0,1s2,478.896,True
He_AE,He,2,Helium,2.0,1s2,2135.871,False
Li,Li,3,Lithium,1.0,2s1,140.0,False
Li_sv,Li,3,Lithium,3.0,1s2 2s1,499.034,True
Be,Be,4,Beryllium,2.0,2s1.99 2p0.01,247.543,True
Be_sv,Be,4,Beryllium,4.0,1s2 2s1.99 2p0.01,308.768,False
B,B,5,Boron,3.0,2s2 2p1,318.614,True
B_h,B,5,Boron,3.0,2s2 2p1,700.0,False
B_s,B,5,Boron,3.0,2s2 2p1,269.245,False
C,C,6,Carbon,4.0,2s2 2p2,400.0,True
C_h,C,6,Carbon,4.0,2s2 2p2,741.689,False
C_s,C,6,Carbon,4.0,2s2 2p2,273.911,False
N,N,7,Nitrogen,5.0,2s2 2p3,400.0,True
N_h,N,7,Nitrogen,5.0,2s2 2p3,755.582,False
N_s,N,7,Nitrogen,5.0,2s2 2p3,279.692,False
O,O,8,Oxygen,6.0,2s2 2p4,400.0,True
O_h,O,8,Oxygen,6.0,2s2 2p4,765.519,False
O_s,O,8,Oxygen,6.0,2s2 2p4,282.853,False
F,F,9,Fluorine,7.0,2s2 2p5,400.0,True
F_h,F,9,Fluorine,7.0,2s2 2p5,772.626,False
F_s,F,9,Fluorine,7.0,2s2 2p5,289.837,False
Ne,Ne,10,Neon,8.0,2s2 2p6,343.606,True
Na,Na,11,Sodium,1.0,3s1,101.968,False
Na_pv,Na,11,Sodium,7.0,2p6 3s1,259.561,True
Na_sv,Na,11,Sodium,9.0,2s2 2p6 3s1,645.64,False
Mg,Mg,12,Magnesium,2.0,3s2,200.0,True
Mg_pv,Mg,12,Magnesium,8.0,2p6 3s2,403.929,False
Mg_sv,Mg,12,Magnesium,10.0,2s2 2p6 3s2,495.223,False
